Date,Date,Close,Volume,signal_rsi,signal_bb,signal_obv,signal_mva,calculated_average,ta_query
2020-03-13,2020-03-13,0.0017379999626427889,218676976,0,2,2,-2,0.4,DOGE
2020-03-14,2020-03-14,0.0016659999964758754,113389101,0,2,-2,-2,-0.4,DOGE
2020-03-15,2020-03-15,0.0016850000247359276,119811060,0,0,2,-2,-0.19999999999999996,DOGE
2020-03-16,2020-03-16,0.0015869999770075083,134329668,0,0,-2,-2,-1.0,DOGE
2020-03-17,2020-03-17,0.0015869999770075083,102697604,0,0,0,-2,-0.6,DOGE
2020-03-18,2020-03-18,0.0015660000499337912,102196814,0,0,-2,-2,-1.0,DOGE
2020-03-19,2020-03-19,0.0017729999963194132,251888350,0,0,2,-2,-0.19999999999999996,DOGE
2020-03-20,2020-03-20,0.0017729999963194132,188170528,0,0,0,-2,-0.6,DOGE
2020-03-21,2020-03-21,0.0017849999712780118,166141811,0,0,2,-2,-0.19999999999999996,DOGE
2020-03-22,2020-03-22,0.0017310000257566571,161287088,0,0,-2,-2,-1.0,DOGE
2020-03-23,2020-03-23,0.0018050000071525574,166551897,0,0,2,-2,-0.19999999999999996,DOGE
2020-03-24,2020-03-24,0.001851000008173287,177134005,0,0,2,-2,-0.19999999999999996,DOGE
2020-03-25,2020-03-25,0.0018339999951422215,163367839,0,0,-2,-2,-1.0,DOGE
2020-03-26,2020-03-26,0.0018420000560581684,162455890,0,0,2,-2,-0.19999999999999996,DOGE
2020-03-27,2020-03-27,0.0018070000223815441,166326062,0,0,-2,-2,-1.0,DOGE
2020-03-28,2020-03-28,0.00177800003439188,169979142,0,0,-2,-2,-1.0,DOGE
2020-03-29,2020-03-29,0.0017229999648407102,156619235,0,0,-2,-2,-1.0,DOGE
2020-03-30,2020-03-30,0.0018309999722987413,163244392,0,0,2,-2,-0.19999999999999996,DOGE
2020-03-31,2020-03-31,0.0018110000528395176,156195510,0,0,-2,-2,-1.0,DOGE
2020-04-01,2020-04-01,0.001867000013589859,163418627,0,0,2,-2,-0.19999999999999996,DOGE
2020-04-02,2020-04-02,0.0018820000113919377,165879605,0,0,2,-2,-0.19999999999999996,DOGE
2020-04-03,2020-04-03,0.0018530000234022737,161121845,0,0,-2,-2,-1.0,DOGE
2020-04-04,2020-04-04,0.001879999996162951,160849686,0,0,2,-2,-0.19999999999999996,DOGE
2020-04-05,2020-04-05,0.0018649999983608723,152557918,0,0,-2,-2,-1.0,DOGE
2020-04-06,2020-04-06,0.001979999942705035,173173223,0,-2,2,-2,-0.7999999999999999,DOGE
2020-04-07,2020-04-07,0.0019970000721514225,129399793,0,-2,2,-2,-0.7999999999999999,DOGE
2020-04-08,2020-04-08,0.0020119999535381794,116283369,0,-2,2,-2,-0.7999999999999999,DOGE
2020-04-09,2020-04-09,0.0020210000220686197,109954538,0,0,2,-2,-0.19999999999999996,DOGE
2020-04-10,2020-04-10,0.0019680000841617584,122108790,0,0,-2,-2,-1.0,DOGE
2020-04-11,2020-04-11,0.001990000018849969,161367396,0,0,2,-2,-0.19999999999999996,DOGE
2020-04-12,2020-04-12,0.001990000018849969,169892709,0,0,0,-2,-0.6,DOGE
2020-04-13,2020-04-13,0.001959000015631318,167357650,0,0,-2,-2,-1.0,DOGE
2020-04-14,2020-04-14,0.001964000053703785,188937615,0,0,2,-2,-0.19999999999999996,DOGE
2020-04-15,2020-04-15,0.0019399999873712659,169903672,0,0,-2,-2,-1.0,DOGE
2020-04-16,2020-04-16,0.0020280000753700733,179859738,0,0,2,-2,-0.19999999999999996,DOGE
2020-04-17,2020-04-17,0.0020129999611526728,161550208,0,0,-2,-2,-1.0,DOGE
2020-04-18,2020-04-18,0.002061000093817711,168186509,0,0,2,-2,-0.19999999999999996,DOGE
2020-04-19,2020-04-19,0.0020580000709742308,172576560,0,0,-2,2,0.19999999999999996,DOGE
2020-04-20,2020-04-20,0.001981999957934022,169715146,0,0,-2,2,0.19999999999999996,DOGE
2020-04-21,2020-04-21,0.0019710001070052385,163652750,0,0,-2,2,0.19999999999999996,DOGE
2020-04-22,2020-04-22,0.002010999945923686,163753943,0,0,2,2,1.0,DOGE
2020-04-23,2020-04-23,0.0020469999872148037,179000350,0,0,2,2,1.0,DOGE
2020-04-24,2020-04-24,0.002102999947965145,209562151,0,-2,2,2,0.4,DOGE
2020-04-25,2020-04-25,0.002142000012099743,229810398,0,-2,2,2,0.4,DOGE
2020-04-26,2020-04-26,0.00240899994969368,287859775,0,-2,2,2,0.4,DOGE
2020-04-27,2020-04-27,0.002355000004172325,276033020,0,-2,-2,2,-0.4,DOGE
2020-04-28,2020-04-28,0.002339000115171075,254905520,0,0,-2,2,0.19999999999999996,DOGE
2020-04-29,2020-04-29,0.002517000073567033,295698249,2,-2,2,2,0.8,DOGE
2020-04-30,2020-04-30,0.0024429999757558107,298563815,0,0,-2,2,0.19999999999999996,DOGE
2020-05-01,2020-05-01,0.0024939998984336853,282886977,0,0,2,2,1.0,DOGE
2020-05-02,2020-05-02,0.002549000084400177,269155283,0,0,2,2,1.0,DOGE
2020-05-03,2020-05-03,0.0025100000202655792,265156925,0,0,-2,2,0.19999999999999996,DOGE
2020-05-04,2020-05-04,0.002481000032275915,261454253,0,0,-2,2,0.19999999999999996,DOGE
2020-05-05,2020-05-05,0.0024840000551193953,245861118,0,0,2,2,1.0,DOGE
2020-05-06,2020-05-06,0.0025289999321103096,251393346,0,0,2,2,1.0,DOGE
2020-05-07,2020-05-07,0.00266400002874434,284491226,0,0,2,2,1.0,DOGE
2020-05-08,2020-05-08,0.002624999964609742,291757355,0,0,-2,2,0.19999999999999996,DOGE
2020-05-09,2020-05-09,0.0026130001060664654,294993696,0,0,-2,2,0.19999999999999996,DOGE
2020-05-10,2020-05-10,0.0024590000975877047,290801097,0,0,-2,2,0.19999999999999996,DOGE
2020-05-11,2020-05-11,0.0024129999801516533,277646033,0,0,-2,2,0.19999999999999996,DOGE
2020-05-12,2020-05-12,0.0024629998952150345,262934538,0,0,2,2,1.0,DOGE
2020-05-13,2020-05-13,0.0025210001040250063,265878080,0,0,2,2,1.0,DOGE
2020-05-14,2020-05-14,0.0025740000419318676,283778649,0,0,2,2,1.0,DOGE
2020-05-15,2020-05-15,0.0025059999898076057,261080156,0,0,-2,2,0.19999999999999996,DOGE
2020-05-16,2020-05-16,0.0025130000431090593,254666485,0,0,2,2,1.0,DOGE
2020-05-17,2020-05-17,0.00253800000064075,258469067,0,0,2,2,1.0,DOGE
