date,src,dst,cluster_src,mes_sent,mes_received,mes_total,contr_index,sentiment_avg,emoti_avg,compl_avg,neighbours,cluster_dst,cluster_equal,neighbours_!cluster,neighbours_cluster
2021-12-12,boys_fuckers,pperfectboy,C8,0,1,1,-1.0,,,,5,C8,True,1,4
2021-10-31,axchionn,materaofdred,C0,1,1,2,0.0,0.0839694812893867,0.3334134221076965,4.818955898284912,6,C5,False,2,4
2021-12-11,cryptowhale,ayesbc,C7,0,1,1,-1.0,,,,41,C7,True,7,34
2021-11-29,walterv32066531,diego__rs,C5,1,0,1,1.0,0.1080918833613395,0.1773972064256668,9.222145080566406,4,C0,False,2,2
2021-10-31,naokichi120,betfury,C2,1,0,1,1.0,,,,6,C2,True,2,4
2021-10-31,shibaaustralia,kryptohulk1,C7,0,1,1,-1.0,,,,230,C7,True,9,221
2021-11-14,sleepinggiants1,suebandy7,C0,1,0,1,1.0,0.6456560492515564,0.148896038532257,6.264550685882568,4,C5,False,2,2
2021-10-31,lswalker6968,tatianita75020,C7,1,0,1,1.0,0.8922932147979736,0.2739413976669311,5.316285133361816,27,C7,True,0,27
2021-11-28,tiztik,alancan_,C7,0,3,3,-1.0,,,,26,C2,False,10,16
2021-11-28,mobilegamestuto,eliana71_,C7,0,1,1,-1.0,,,,2,C7,True,0,2
2021-12-21,xavier_diame,sid_lambert,C3,1,0,1,1.0,0.0288140159100294,0.2143654078245163,9.034603118896484,4,C3,True,2,2
2021-12-26,morales_eth,smartcontracts9,C7,0,2,2,-1.0,,,,189,C7,True,76,113
2021-11-29,pra2,triplen1109,C8,0,1,1,-1.0,,,,4,C0,False,2,2
2021-12-26,deuterium_labs,watcherguru,C7,1,0,1,1.0,0.8219568729400635,0.2237015068531036,4.736264228820801,21,C7,True,0,21
2021-11-07,dent_20111,cryptonauts__,C7,1,0,1,1.0,0.4584501683712005,0.1703190207481384,7.948052406311035,6,C7,True,0,6
2021-12-26,crypto_prince2,nftslyvii,C7,0,1,1,-1.0,,,,111,C7,True,2,109
2021-11-07,praimfyre,roryapplegate,C7,0,9,9,-1.0,,,,14,C7,True,0,14
2021-12-05,babydogecoin,afrillya90,C7,0,1,1,-1.0,,,,1852,C7,True,12,1840
2021-12-05,trappersnft,artemantipov10,C7,0,1,1,-1.0,,,,21,C7,True,0,21
2021-11-29,dragonsolnft,[twitter_query=sol],C7,1,1,2,0.0,,,,7,C7,True,0,7
2021-12-26,italia_kash,eros4_eros,C6,0,1,1,-1.0,,,,2,C6,True,1,1
2021-12-05,babydogecoin,daniel74761352,C7,0,1,1,-1.0,,,,1852,C7,True,12,1840
2021-11-29,alisonla7,brattyalexxx,C0,1,0,1,1.0,0.786352276802063,0.1405251175165176,6.515584945678711,4,C0,True,2,2
2021-12-12,tos_kingpin,mrhappyvibes,C2,0,1,1,-1.0,,,,3,C2,True,0,3
